,X,Y,Z,count,C_X,C_Y
0,258.453308621162,258.54647908947,256,1,1254.62953475457,308.335956242944
1,260.813489488229,261.090324878955,256.000069359765,2,1250.52189536827,360.528463267653
2,263.080635726379,263.628916370843,256.00027931005,3,1243.68834059514,412.434465040231
3,265.254912908309,266.159620696609,256.000689150202,4,1234.14760073381,463.911690817759
4,267.336549953778,268.679817876124,256.00136768146,5,1221.92582628907,514.819045102521
5,269.325849086737,271.186892541532,256.00237744867,6,1207.05651629515,565.016994374947
6,271.223164985893,273.678226943839,256.00377867773,7,1189.5804264972,614.3679495453
7,273.028935318177,276.151211138254,256.005621089793,8,1169.5454576426,662.7366430758
8,274.743658455374,278.603247140713,256.007959061074,9,1147.00652418837,709.990499739547
9,276.367897564801,281.031748648162,256.010845367838,10,1122.02540378444,756
10,277.902284091623,283.434141171772,256.014326577807,11,1094.67056794542,800.639035015027
11,279.34751471728,285.807861812767,256.018447841054,12,1065.01699437495,843.785252292473
12,280.704352881905,288.150359633795,256.023251544954,13,1033.14596145697,885.320391049838
13,281.973629176371,290.459093549699,256.028788132581,14,999.144825477394,925.130606358858
14,283.156240848644,292.731543772318,256.035090748196,15,963.106781186548,963.106781186547
15,284.253168889042,294.965214823554,256.0421976474,16,925.130606358858,999.144825477394
16,285.265447121018,297.157623577714,256.050139490416,17,885.320391049838,1033.14596145697
17,286.194186075214,299.306318594955,256.058945051644,18,843.785252292473,1065.01699437495
18,287.040563278004,301.40885945209,256.068646806885,19,800.639035015027,1094.67056794542
19,287.805823416657,303.462839973765,256.079269897616,20,756,1122.02540378444
20,288.491282052801,305.465873017869,256.090843768679,21,709.990499739547,1147.00652418837
21,289.098323810462,307.415619712687,256.103388494771,22,662.736643075801,1169.5454576426
22,289.628398980481,309.30976166322,256.116925170003,23,614.3679495453,1189.5804264972
23,290.083033898288,311.146014938805,256.131467763152,24,565.016994374947,1207.05651629515
24,290.463820537308,312.922128382693,256.14703767184,25,514.819045102521,1221.92582628907
25,290.772419763787,314.635900982873,256.16364640131,26,463.911690817759,1234.14760073381
26,291.010564408341,316.285174883794,256.181302663756,27,412.434465040231,1243.68834059514
27,291.180049891169,317.867831675262,256.200022862066,28,360.528463267653,1250.52189536827
28,291.282745244986,319.381799256376,256.219812970215,29,308.335956242944,1254.62953475457
29,291.320575927214,320.825057700971,256.240678794465,30,256,1256
30,291.29554384632,322.195635007816,256.262621856878,31,203.664043757056,1254.62953475457
31,291.209711850206,323.491615937891,256.28564081686,32,151.471536732347,1250.52189536827
32,291.06520321705,324.711148593011,256.309741007248,33,99.5655349597692,1243.68834059514
33,290.864206868248,325.852434980534,256.334912789173,34,48.0883091822407,1234.14760073381
34,290.608970418663,326.91374794558,256.361157254879,35,-2.81904510252065,1221.92582628907
35,290.301802641852,327.893419873858,256.38846809068,36,-53.0169943749473,1207.05651629515
36,289.94506468623,328.789854994471,256.416838036143,37,-102.3679495453,1189.5804264972
37,289.541179099396,329.601534736051,256.446257332729,38,-150.7366430758,1169.5454576426
38,289.092614749935,330.327005593715,256.476715607168,39,-197.990499739547,1147.00652418837
39,288.60189508401,330.964899696941,256.508199509112,40,-244,1122.02540378444
40,288.071595498044,331.513922666366,256.540699960068,41,-288.639035015027,1094.67056794542
41,287.504330424448,331.97285909423,256.574200997115,42,-331.785252292473,1065.01699437495
42,286.902760993861,332.340581480666,256.608685358913,43,-373.320391049837,1033.14596145697
43,286.269585108944,332.616046436027,256.644133715107,44,-413.130606358858,999.144825477394
44,285.607535736572,332.798299166787,256.680523912168,45,-451.106781186547,963.106781186548
45,284.919384284819,332.886477114026,256.717842175379,46,-487.144825477394,925.130606358858
46,284.2079267683,332.879804134746,256.756061663251,47,-521.145961456971,885.320391049837
47,283.475984271851,332.777599076581,256.795164232599,48,-553.016994374947,843.785252292473
48,282.726404733721,332.579277616734,256.835125499504,49,-582.670567945424,800.639035015027
49,281.962055830524,332.284347462803,256.875923186473,50,-610.025403784439,756
50,281.185817376873,331.892408983356,256.917531753665,51,-635.006524188368,709.990499739547
51,280.400584953781,331.403163395183,256.959926171765,52,-657.545457642601,662.7366430758
52,279.609261145315,330.816406066597,257.003083915529,53,-677.580426497202,614.3679495453
53,278.814750329875,330.13203699695,257.046985542149,54,-695.056516295154,565.016994374947
54,278.019955000086,329.350036702547,257.091597656989,55,-709.925826289068,514.819045102521
55,277.227775914794,328.470492005526,257.136895012198,56,-722.147600733806,463.911690817759
56,276.441104909745,327.493588114023,257.182853703616,57,-731.688340595138,412.434465040231
57,275.662826929154,326.419603537947,257.229447855756,58,-738.521895368273,360.528463267653
58,274.895804487609,325.248907212798,257.276650968376,59,-742.629534754574,308.335956242944
59,274.14288152314,323.981965372877,257.324441528627,60,-744,256.000000000001
60,273.406886185765,322.619340242897,257.372793401357,61,-742.629534754574,203.664043757056
61,272.690621612539,321.161678653782,257.421679840528,62,-738.521895368273,151.471536732347
62,271.996854938544,319.609716018851,257.471081697597,63,-731.688340595138,99.5655349597693
63,271.328321630979,317.964278501888,257.520978190886,64,-722.147600733806,48.0883091822409
64,270.687728122333,316.226276974206,257.571348809529,65,-709.925826289068,-2.81904510252036
65,270.077742604392,314.396701995504,257.622169781454,66,-695.056516295154,-53.0169943749473
66,269.500986555859,312.476623867386,257.673421423629,67,-677.580426497202,-102.3679495453
67,268.960047453115,310.467199544532,257.725086506841,68,-657.545457642601,-150.7366430758
68,268.457462349558,308.369656411158,257.777145956958,69,-635.006524188368,-197.990499739547
69,267.995716545059,306.185299925031,257.829582989836,70,-610.025403784439,-244
70,267.577260558901,303.91550043162,257.882382589579,71,-582.670567945424,-288.639035015027
71,267.204476709147,301.561695079895,257.935530618917,72,-553.016994374948,-331.785252292473
72,266.87969731713,299.125394612972,257.98901438838,73,-521.145961456971,-373.320391049837
73,266.605202403532,296.608174142258,258.042829094958,74,-487.144825477394,-413.130606358858
74,266.383219326343,294.011664332149,258.096965744468,75,-451.106781186548,-451.106781186547
75,266.215916982686,291.337547154856,258.151412998474,76,-413.130606358858,-487.144825477394
76,266.105401874824,288.587573173126,258.206165103468,77,-373.320391049838,-521.145961456971
77,266.053725802922,285.763537766351,258.261218106341,78,-331.785252292473,-553.016994374947
78,266.062880493285,282.8672959157,258.316576169254,79,-288.639035015027,-582.670567945424
79,266.134798692423,279.900741062907,258.372233158539,80,-244,-610.025403784438
80,266.27134981193,276.865809210962,258.428189926315,81,-197.990499739547,-635.006524188368
81,266.47434512779,273.764487539007,258.484445523732,82,-150.736643075801,-657.545457642601
82,266.745531849166,270.598796647045,258.541010363614,83,-102.3679495453,-677.580426497202
83,267.086598388684,267.370801389604,258.597891317841,84,-53.0169943749476,-695.056516295154
84,267.49916943741,264.082599147399,258.655096823862,85,-2.81904510252065,-709.925826289068
85,267.984805998541,260.736324450849,258.712640298158,86,48.0883091822402,-722.147600733806
86,268.545017425044,257.334143066976,258.770529669483,87,99.565534959769,-731.688340595138
87,269.181242387683,253.87824894292,258.828784201365,88,151.471536732346,-738.521895368273
88,269.894860345796,250.370871519,258.887424563214,89,203.664043757057,-742.629534754574
89,270.687198593982,246.814255932804,258.946462536691,90,256,-744
90,271.559516170844,243.210685424335,259.005924983181,91,308.335956242944,-742.629534754574
91,272.513014554341,239.562455779359,259.065834161007,92,360.528463267653,-738.521895368273
92,273.548835890193,235.871892245461,259.1262220458,93,412.434465040231,-731.688340595138
93,274.668065458148,232.141343604815,259.187113273248,94,463.91169081776,-722.147600733806
94,275.871725641073,228.373171366814,259.248540495334,95,514.819045102521,-709.925826289068
95,277.160780626087,224.569761607304,259.310538937032,96,565.016994374947,-695.056516295154
96,278.536142235291,220.733516348954,259.373147403017,97,614.3679495453,-677.580426497202
97,279.998660932675,216.86685437135,259.436400574472,98,662.7366430758,-657.545457642601
98,281.549130525055,212.97221580455,259.500345402143,99,709.990499739547,-635.006524188368
99,283.188289078004,209.052051254621,259.565024569034,100,756,-610.025403784439
100,284.916818735377,205.108834657132,259.630487596999,101,800.639035015027,-582.670567945424
101,286.735339666461,201.145042265538,259.696777244013,102,843.785252292473,-553.016994374948
102,288.644415134851,197.163165851783,259.763948912427,103,885.320391049837,-521.145961456971
103,290.644556435479,193.165709297497,259.832062602919,104,925.130606358858,-487.144825477394
104,292.736215674949,189.15518329075,259.901172387885,105,963.106781186547,-451.106781186548
105,294.91979872866,185.13413120724,259.971339322254,106,999.144825477394,-413.130606358858
106,297.195649218209,181.105092514359,260.042629212212,107,1033.14596145697,-373.320391049838
107,299.564047051156,177.070623567177,260.11510235197,108,1065.01699437495,-331.785252292473
108,302.025212492262,173.033280388969,260.188838599677,109,1094.67056794542,-288.639035015028
109,304.579314552222,168.995631683401,260.263901851034,110,1122.02540378444,-244
110,307.226466562716,164.960267703068,260.340377057849,111,1147.00652418837,-197.990499739547
111,309.966721775331,160.929773790638,260.418344199939,112,1169.5454576426,-150.7366430758
112,312.800073140645,156.90674340839,260.49788847131,113,1189.5804264972,-102.367949545301
113,315.726448391603,152.893784158442,260.579100869895,114,1207.05651629515,-53.0169943749476
114,318.745724462968,148.893507364143,260.662065028695,115,1221.92582628907,-2.8190451025207
115,321.857711075897,144.908532662548,260.74687912608,116,1234.14760073381,48.088309182241
116,325.062160815449,140.941490591698,260.833642541311,117,1243.68834059514,99.5655349597689
117,328.358754303554,136.99500534281,260.922449750105,118,1250.52189536827,151.471536732347
118,331.747112578464,133.071704537462,261.013417915883,119,1254.62953475457,203.664043757056
119,335.226796112321,129.174229539593,261.106655582954,120,1256,255.999999999999
